Passo;Temperatura;FO_atual;FO_vizinho;Melhor_FO;Movimento_Aceito
0;1000.0000;-973.0000;-4963.0000;-973.0000;0
1;1000.0000;25.0000;25.0000;25.0000;1
2;1000.0000;13.0000;13.0000;25.0000;1
3;1000.0000;15.0000;15.0000;25.0000;1
4;1000.0000;9.0000;9.0000;25.0000;1
5;1000.0000;15.0000;15.0000;25.0000;1
6;1000.0000;9.0000;9.0000;25.0000;1
7;1000.0000;2.0000;2.0000;25.0000;1
8;1000.0000;9.0000;9.0000;25.0000;1
9;1000.0000;2.0000;2.0000;25.0000;1
10;1000.0000;8.0000;8.0000;25.0000;1
11;1000.0000;20.0000;20.0000;25.0000;1
12;1000.0000;20.0000;-1970.0000;25.0000;0
13;1000.0000;18.0000;18.0000;25.0000;1
14;1000.0000;20.0000;20.0000;25.0000;1
15;1000.0000;-973.0000;-973.0000;25.0000;1
16;1000.0000;25.0000;25.0000;25.0000;1
17;1000.0000;18.0000;18.0000;25.0000;1
18;1000.0000;18.0000;-972.0000;25.0000;0
19;1000.0000;25.0000;25.0000;25.0000;1
20;1000.0000;25.0000;-973.0000;25.0000;0
21;1000.0000;13.0000;13.0000;25.0000;1
22;1000.0000;7.0000;7.0000;25.0000;1
23;1000.0000;13.0000;13.0000;25.0000;1
24;1000.0000;7.0000;7.0000;25.0000;1
25;1000.0000;0.0000;0.0000;25.0000;1
26;1000.0000;2.0000;2.0000;25.0000;1
27;1000.0000;8.0000;8.0000;25.0000;1
28;1000.0000;18.0000;18.0000;25.0000;1
29;1000.0000;8.0000;8.0000;25.0000;1
30;1000.0000;6.0000;6.0000;25.0000;1
31;1000.0000;8.0000;8.0000;25.0000;1
32;1000.0000;6.0000;6.0000;25.0000;1
33;1000.0000;0.0000;0.0000;25.0000;1
34;1000.0000;6.0000;6.0000;25.0000;1
35;1000.0000;18.0000;18.0000;25.0000;1
36;1000.0000;20.0000;20.0000;25.0000;1
37;1000.0000;18.0000;18.0000;25.0000;1
38;1000.0000;6.0000;6.0000;25.0000;1
39;1000.0000;18.0000;18.0000;25.0000;1
40;1000.0000;25.0000;25.0000;25.0000;1
41;1000.0000;18.0000;18.0000;25.0000;1
42;1000.0000;25.0000;25.0000;25.0000;1
43;1000.0000;25.0000;-973.0000;25.0000;0
44;1000.0000;25.0000;-973.0000;25.0000;0
45;1000.0000;13.0000;13.0000;25.0000;1
46;1000.0000;25.0000;25.0000;25.0000;1
47;1000.0000;18.0000;18.0000;25.0000;1
48;1000.0000;20.0000;20.0000;25.0000;1
49;1000.0000;20.0000;-1970.0000;25.0000;0
50;1000.0000;14.0000;14.0000;25.0000;1
51;1000.0000;2.0000;2.0000;25.0000;1
52;1000.0000;8.0000;8.0000;25.0000;1
53;1000.0000;2.0000;2.0000;25.0000;1
54;1000.0000;9.0000;9.0000;25.0000;1
55;1000.0000;7.0000;7.0000;25.0000;1
56;1000.0000;17.0000;17.0000;25.0000;1
57;1000.0000;23.0000;23.0000;25.0000;1
58;1000.0000;13.0000;13.0000;25.0000;1
59;1000.0000;15.0000;15.0000;25.0000;1
60;1000.0000;25.0000;25.0000;25.0000;1
61;1000.0000;23.0000;23.0000;25.0000;1
62;1000.0000;17.0000;17.0000;25.0000;1
63;1000.0000;23.0000;23.0000;25.0000;1
64;1000.0000;16.0000;16.0000;25.0000;1
65;1000.0000;16.0000;-972.0000;25.0000;0
66;1000.0000;23.0000;23.0000;25.0000;1
67;1000.0000;23.0000;-3965.0000;25.0000;0
68;1000.0000;23.0000;-3965.0000;25.0000;0
69;1000.0000;16.0000;16.0000;25.0000;1
70;1000.0000;6.0000;6.0000;25.0000;1
71;1000.0000;0.0000;0.0000;25.0000;1
72;1000.0000;12.0000;12.0000;25.0000;1
73;1000.0000;14.0000;14.0000;25.0000;1
74;1000.0000;20.0000;20.0000;25.0000;1
75;1000.0000;18.0000;18.0000;25.0000;1
76;1000.0000;25.0000;25.0000;25.0000;1
77;1000.0000;-973.0000;-973.0000;25.0000;1
78;1000.0000;-973.0000;-4963.0000;25.0000;0
79;1000.0000;20.0000;20.0000;25.0000;1
80;1000.0000;14.0000;14.0000;25.0000;1
81;1000.0000;20.0000;20.0000;25.0000;1
82;1000.0000;20.0000;14.0000;25.0000;0
83;1000.0000;20.0000;-973.0000;25.0000;0
84;1000.0000;18.0000;18.0000;25.0000;1
85;1000.0000;12.0000;12.0000;25.0000;1
86;1000.0000;14.0000;14.0000;25.0000;1
87;1000.0000;2.0000;2.0000;25.0000;1
88;1000.0000;12.0000;12.0000;25.0000;1
89;1000.0000;10.0000;10.0000;25.0000;1
90;1000.0000;12.0000;12.0000;25.0000;1
91;1000.0000;19.0000;19.0000;25.0000;1
92;1000.0000;25.0000;25.0000;25.0000;1
93;1000.0000;23.0000;23.0000;25.0000;1
94;1000.0000;16.0000;16.0000;25.0000;1
95;1000.0000;18.0000;18.0000;25.0000;1
96;1000.0000;16.0000;16.0000;25.0000;1
97;1000.0000;16.0000;-972.0000;25.0000;0
98;1000.0000;16.0000;-972.0000;25.0000;0
99;1000.0000;23.0000;23.0000;25.0000;1
100;1000.0000;23.0000;-3965.0000;25.0000;0
101;1000.0000;25.0000;25.0000;25.0000;1
102;1000.0000;25.0000;-4963.0000;25.0000;0
103;1000.0000;18.0000;18.0000;25.0000;1
104;1000.0000;8.0000;8.0000;25.0000;1
105;1000.0000;20.0000;20.0000;25.0000;1
106;1000.0000;8.0000;8.0000;25.0000;1
107;1000.0000;20.0000;20.0000;25.0000;1
108;1000.0000;18.0000;18.0000;25.0000;1
109;1000.0000;12.0000;12.0000;25.0000;1
110;1000.0000;22.0000;22.0000;25.0000;1
111;1000.0000;22.0000;-1971.0000;25.0000;0
112;1000.0000;22.0000;-972.0000;25.0000;0
113;1000.0000;24.0000;24.0000;25.0000;1
114;1000.0000;14.0000;14.0000;25.0000;1
115;1000.0000;12.0000;12.0000;25.0000;1
116;1000.0000;0.0000;0.0000;25.0000;1
117;1000.0000;7.0000;7.0000;25.0000;1
118;1000.0000;19.0000;19.0000;25.0000;1
119;1000.0000;12.0000;12.0000;25.0000;1
120;1000.0000;19.0000;19.0000;25.0000;1
121;1000.0000;12.0000;12.0000;25.0000;1
122;1000.0000;19.0000;19.0000;25.0000;1
123;1000.0000;12.0000;12.0000;25.0000;1
124;1000.0000;14.0000;14.0000;25.0000;1
125;1000.0000;21.0000;21.0000;25.0000;1
126;1000.0000;14.0000;14.0000;25.0000;1
127;1000.0000;24.0000;24.0000;25.0000;1
128;1000.0000;22.0000;22.0000;25.0000;1
129;1000.0000;10.0000;10.0000;25.0000;1
130;1000.0000;17.0000;17.0000;25.0000;1
131;1000.0000;10.0000;10.0000;25.0000;1
132;1000.0000;17.0000;17.0000;25.0000;1
133;1000.0000;7.0000;7.0000;25.0000;1
134;1000.0000;9.0000;9.0000;25.0000;1
135;1000.0000;7.0000;7.0000;25.0000;1
136;1000.0000;19.0000;19.0000;25.0000;1
137;1000.0000;7.0000;7.0000;25.0000;1
138;1000.0000;13.0000;13.0000;25.0000;1
139;1000.0000;23.0000;23.0000;25.0000;1
140;1000.0000;13.0000;13.0000;25.0000;1
141;1000.0000;7.0000;7.0000;25.0000;1
142;1000.0000;13.0000;13.0000;25.0000;1
143;1000.0000;6.0000;6.0000;25.0000;1
144;1000.0000;8.0000;8.0000;25.0000;1
145;1000.0000;6.0000;6.0000;25.0000;1
146;1000.0000;8.0000;8.0000;25.0000;1
147;1000.0000;2.0000;2.0000;25.0000;1
148;1000.0000;8.0000;8.0000;25.0000;1
149;1000.0000;18.0000;18.0000;25.0000;1
150;1000.0000;16.0000;16.0000;25.0000;1
151;1000.0000;18.0000;18.0000;25.0000;1
152;1000.0000;8.0000;8.0000;25.0000;1
153;1000.0000;20.0000;20.0000;25.0000;1
154;1000.0000;14.0000;14.0000;25.0000;1
155;1000.0000;21.0000;21.0000;25.0000;1
156;1000.0000;19.0000;19.0000;25.0000;1
157;1000.0000;7.0000;7.0000;25.0000;1
158;1000.0000;0.0000;0.0000;25.0000;1
159;1000.0000;6.0000;6.0000;25.0000;1
160;1000.0000;18.0000;18.0000;25.0000;1
161;1000.0000;20.0000;20.0000;25.0000;1
162;1000.0000;8.0000;8.0000;25.0000;1
163;1000.0000;6.0000;6.0000;25.0000;1
164;1000.0000;0.0000;0.0000;25.0000;1
165;1000.0000;10.0000;10.0000;25.0000;1
166;1000.0000;0.0000;0.0000;25.0000;1
167;1000.0000;2.0000;2.0000;25.0000;1
168;1000.0000;9.0000;9.0000;25.0000;1
169;1000.0000;15.0000;15.0000;25.0000;1
170;1000.0000;9.0000;9.0000;25.0000;1
171;1000.0000;21.0000;21.0000;25.0000;1
172;1000.0000;19.0000;19.0000;25.0000;1
173;1000.0000;25.0000;25.0000;25.0000;1
174;1000.0000;19.0000;19.0000;25.0000;1
175;1000.0000;21.0000;21.0000;25.0000;1
176;1000.0000;19.0000;19.0000;25.0000;1
177;1000.0000;7.0000;7.0000;25.0000;1
178;1000.0000;13.0000;13.0000;25.0000;1
179;1000.0000;7.0000;7.0000;25.0000;1
180;1000.0000;17.0000;17.0000;25.0000;1
181;1000.0000;7.0000;7.0000;25.0000;1
182;1000.0000;17.0000;17.0000;25.0000;1
183;1000.0000;17.0000;-1971.0000;25.0000;0
184;1000.0000;17.0000;-1971.0000;25.0000;0
185;1000.0000;23.0000;23.0000;25.0000;1
186;1000.0000;16.0000;16.0000;25.0000;1
187;1000.0000;23.0000;23.0000;25.0000;1
188;1000.0000;13.0000;13.0000;25.0000;1
189;1000.0000;6.0000;6.0000;25.0000;1
190;1000.0000;0.0000;0.0000;25.0000;1
191;1000.0000;12.0000;12.0000;25.0000;1
192;1000.0000;18.0000;18.0000;25.0000;1
193;1000.0000;25.0000;25.0000;25.0000;1
194;1000.0000;13.0000;13.0000;25.0000;1
195;1000.0000;25.0000;25.0000;25.0000;1
196;1000.0000;25.0000;18.0000;25.0000;0
197;1000.0000;25.0000;-973.0000;25.0000;0
198;1000.0000;13.0000;13.0000;25.0000;1
199;1000.0000;15.0000;15.0000;25.0000;1
0;950.0000;25.0000;25.0000;25.0000;1
1;950.0000;18.0000;18.0000;25.0000;1
2;950.0000;25.0000;25.0000;25.0000;1
3;950.0000;15.0000;15.0000;25.0000;1
4;950.0000;8.0000;8.0000;25.0000;1
5;950.0000;18.0000;18.0000;25.0000;1
6;950.0000;16.0000;16.0000;25.0000;1
7;950.0000;-972.0000;-972.0000;25.0000;1
8;950.0000;-972.0000;-3965.0000;25.0000;0
9;950.0000;-972.0000;-1970.0000;25.0000;0
10;950.0000;22.0000;22.0000;25.0000;1
11;950.0000;24.0000;24.0000;25.0000;1
12;950.0000;24.0000;-1970.0000;25.0000;0
13;950.0000;22.0000;22.0000;25.0000;1
14;950.0000;10.0000;10.0000;25.0000;1
15;950.0000;12.0000;12.0000;25.0000;1
16;950.0000;10.0000;10.0000;25.0000;1
17;950.0000;17.0000;17.0000;25.0000;1
18;950.0000;23.0000;23.0000;25.0000;1
19;950.0000;25.0000;25.0000;25.0000;1
20;950.0000;25.0000;-4963.0000;25.0000;0
21;950.0000;19.0000;19.0000;25.0000;1
22;950.0000;17.0000;17.0000;25.0000;1
23;950.0000;19.0000;19.0000;25.0000;1
24;950.0000;19.0000;-2969.0000;25.0000;0
25;950.0000;17.0000;17.0000;25.0000;1
26;950.0000;17.0000;-1971.0000;25.0000;0
27;950.0000;7.0000;7.0000;25.0000;1
28;950.0000;0.0000;0.0000;25.0000;1
29;950.0000;12.0000;12.0000;25.0000;1
30;950.0000;0.0000;0.0000;25.0000;1
31;950.0000;7.0000;7.0000;25.0000;1
32;950.0000;0.0000;0.0000;25.0000;1
33;950.0000;7.0000;7.0000;25.0000;1
34;950.0000;17.0000;17.0000;25.0000;1
35;950.0000;7.0000;7.0000;25.0000;1
36;950.0000;17.0000;17.0000;25.0000;1
37;950.0000;17.0000;-1971.0000;25.0000;0
38;950.0000;17.0000;-1971.0000;25.0000;0
39;950.0000;23.0000;23.0000;25.0000;1
40;950.0000;23.0000;-3965.0000;25.0000;0
41;950.0000;13.0000;13.0000;25.0000;1
42;950.0000;23.0000;23.0000;25.0000;1
43;950.0000;25.0000;25.0000;25.0000;1
44;950.0000;23.0000;23.0000;25.0000;1
45;950.0000;17.0000;17.0000;25.0000;1
46;950.0000;7.0000;7.0000;25.0000;1
47;950.0000;17.0000;17.0000;25.0000;1
48;950.0000;-1971.0000;-1971.0000;25.0000;1
49;950.0000;-2969.0000;-2969.0000;25.0000;1
50;950.0000;19.0000;19.0000;25.0000;1
51;950.0000;19.0000;-2969.0000;25.0000;0
52;950.0000;19.0000;-2969.0000;25.0000;0
53;950.0000;12.0000;12.0000;25.0000;1
54;950.0000;10.0000;10.0000;25.0000;1
55;950.0000;12.0000;12.0000;25.0000;1
56;950.0000;24.0000;24.0000;25.0000;1
57;950.0000;22.0000;22.0000;25.0000;1
58;950.0000;22.0000;-972.0000;25.0000;0
59;950.0000;12.0000;12.0000;25.0000;1
60;950.0000;0.0000;0.0000;25.0000;1
61;950.0000;7.0000;7.0000;25.0000;1
62;950.0000;13.0000;13.0000;25.0000;1
63;950.0000;7.0000;7.0000;25.0000;1
64;950.0000;19.0000;19.0000;25.0000;1
65;950.0000;7.0000;7.0000;25.0000;1
66;950.0000;17.0000;17.0000;25.0000;1
67;950.0000;19.0000;19.0000;25.0000;1
68;950.0000;9.0000;9.0000;25.0000;1
69;950.0000;21.0000;21.0000;25.0000;1
70;950.0000;19.0000;19.0000;25.0000;1
71;950.0000;21.0000;21.0000;25.0000;1
72;950.0000;-973.0000;-973.0000;25.0000;1
73;950.0000;25.0000;25.0000;25.0000;1
74;950.0000;25.0000;-973.0000;25.0000;0
75;950.0000;19.0000;19.0000;25.0000;1
76;950.0000;7.0000;7.0000;25.0000;1
77;950.0000;13.0000;13.0000;25.0000;1
78;950.0000;15.0000;15.0000;25.0000;1
79;950.0000;-973.0000;-973.0000;25.0000;1
80;950.0000;20.0000;20.0000;25.0000;1
81;950.0000;8.0000;8.0000;25.0000;1
82;950.0000;2.0000;2.0000;25.0000;1
83;950.0000;9.0000;9.0000;25.0000;1
84;950.0000;7.0000;7.0000;25.0000;1
85;950.0000;17.0000;17.0000;25.0000;1
86;950.0000;10.0000;10.0000;25.0000;1
87;950.0000;16.0000;16.0000;25.0000;1
88;950.0000;-972.0000;-972.0000;25.0000;1
89;950.0000;22.0000;22.0000;25.0000;1
90;950.0000;22.0000;-972.0000;25.0000;0
91;950.0000;24.0000;24.0000;25.0000;1
92;950.0000;24.0000;-1970.0000;25.0000;0
93;950.0000;24.0000;-1970.0000;25.0000;0
94;950.0000;24.0000;-1970.0000;25.0000;0
95;950.0000;24.0000;-1970.0000;25.0000;0
96;950.0000;14.0000;14.0000;25.0000;1
97;950.0000;20.0000;20.0000;25.0000;1
98;950.0000;18.0000;18.0000;25.0000;1
99;950.0000;25.0000;25.0000;25.0000;1
100;950.0000;13.0000;13.0000;25.0000;1
101;950.0000;15.0000;15.0000;25.0000;1
102;950.0000;-973.0000;-973.0000;25.0000;1
103;950.0000;-973.0000;-4963.0000;25.0000;0
104;950.0000;21.0000;21.0000;25.0000;1
105;950.0000;9.0000;9.0000;25.0000;1
106;950.0000;2.0000;2.0000;25.0000;1
107;950.0000;14.0000;14.0000;25.0000;1
108;950.0000;21.0000;21.0000;25.0000;1
109;950.0000;19.0000;19.0000;25.0000;1
110;950.0000;21.0000;21.0000;25.0000;1
111;950.0000;21.0000;-2969.0000;25.0000;0
112;950.0000;19.0000;19.0000;25.0000;1
113;950.0000;25.0000;25.0000;25.0000;1
114;950.0000;18.0000;18.0000;25.0000;1
115;950.0000;-972.0000;-972.0000;25.0000;1
116;950.0000;18.0000;18.0000;25.0000;1
117;950.0000;18.0000;-972.0000;25.0000;0
118;950.0000;18.0000;-972.0000;25.0000;0
119;950.0000;6.0000;6.0000;25.0000;1
120;950.0000;13.0000;13.0000;25.0000;1
121;950.0000;23.0000;23.0000;25.0000;1
122;950.0000;16.0000;16.0000;25.0000;1
123;950.0000;10.0000;10.0000;25.0000;1
124;950.0000;22.0000;22.0000;25.0000;1
125;950.0000;22.0000;-1971.0000;25.0000;0
126;950.0000;24.0000;24.0000;25.0000;1
127;950.0000;24.0000;-2969.0000;25.0000;0
128;950.0000;24.0000;-1970.0000;25.0000;0
129;950.0000;12.0000;12.0000;25.0000;1
130;950.0000;24.0000;24.0000;25.0000;1
131;950.0000;22.0000;22.0000;25.0000;1
132;950.0000;10.0000;10.0000;25.0000;1
133;950.0000;12.0000;12.0000;25.0000;1
134;950.0000;2.0000;2.0000;25.0000;1
135;950.0000;8.0000;8.0000;25.0000;1
136;950.0000;15.0000;15.0000;25.0000;1
137;950.0000;9.0000;9.0000;25.0000;1
138;950.0000;15.0000;15.0000;25.0000;1
139;950.0000;9.0000;9.0000;25.0000;1
140;950.0000;2.0000;2.0000;25.0000;1
141;950.0000;9.0000;9.0000;25.0000;1
142;950.0000;2.0000;2.0000;25.0000;1
143;950.0000;9.0000;9.0000;25.0000;1
144;950.0000;2.0000;2.0000;25.0000;1
145;950.0000;0.0000;0.0000;25.0000;1
146;950.0000;6.0000;6.0000;25.0000;1
147;950.0000;18.0000;18.0000;25.0000;1
148;950.0000;25.0000;25.0000;25.0000;1
149;950.0000;25.0000;-973.0000;25.0000;0
150;950.0000;25.0000;-3965.0000;25.0000;0
151;950.0000;-973.0000;-973.0000;25.0000;1
152;950.0000;21.0000;21.0000;25.0000;1
153;950.0000;21.0000;-2969.0000;25.0000;0
154;950.0000;21.0000;-2969.0000;25.0000;0
155;950.0000;21.0000;-2969.0000;25.0000;0
156;950.0000;21.0000;-973.0000;25.0000;0
157;950.0000;21.0000;-2969.0000;25.0000;0
158;950.0000;19.0000;19.0000;25.0000;1
159;950.0000;25.0000;25.0000;25.0000;1
160;950.0000;25.0000;-3965.0000;25.0000;0
161;950.0000;25.0000;-3965.0000;25.0000;0
162;950.0000;-973.0000;-973.0000;25.0000;1
163;950.0000;21.0000;21.0000;25.0000;1
164;950.0000;9.0000;9.0000;25.0000;1
165;950.0000;21.0000;21.0000;25.0000;1
166;950.0000;21.0000;-2969.0000;25.0000;0
167;950.0000;9.0000;9.0000;25.0000;1
168;950.0000;2.0000;2.0000;25.0000;1
169;950.0000;0.0000;0.0000;25.0000;1
170;950.0000;6.0000;6.0000;25.0000;1
171;950.0000;18.0000;18.0000;25.0000;1
172;950.0000;6.0000;6.0000;25.0000;1
173;950.0000;8.0000;8.0000;25.0000;1
174;950.0000;6.0000;6.0000;25.0000;1
175;950.0000;0.0000;0.0000;25.0000;1
176;950.0000;2.0000;2.0000;25.0000;1
177;950.0000;12.0000;12.0000;25.0000;1
178;950.0000;19.0000;19.0000;25.0000;1
179;950.0000;12.0000;12.0000;25.0000;1
180;950.0000;10.0000;10.0000;25.0000;1
181;950.0000;22.0000;22.0000;25.0000;1
182;950.0000;12.0000;12.0000;25.0000;1
183;950.0000;0.0000;0.0000;25.0000;1
184;950.0000;2.0000;2.0000;25.0000;1
185;950.0000;14.0000;14.0000;25.0000;1
186;950.0000;21.0000;21.0000;25.0000;1
187;950.0000;14.0000;14.0000;25.0000;1
188;950.0000;12.0000;12.0000;25.0000;1
189;950.0000;14.0000;14.0000;25.0000;1
190;950.0000;20.0000;20.0000;25.0000;1
191;950.0000;20.0000;-1970.0000;25.0000;0
192;950.0000;8.0000;8.0000;25.0000;1
193;950.0000;2.0000;2.0000;25.0000;1
194;950.0000;12.0000;12.0000;25.0000;1
195;950.0000;19.0000;19.0000;25.0000;1
196;950.0000;9.0000;9.0000;25.0000;1
197;950.0000;2.0000;2.0000;25.0000;1
198;950.0000;12.0000;12.0000;25.0000;1
199;950.0000;10.0000;10.0000;25.0000;1
0;902.5000;17.0000;17.0000;25.0000;1
1;902.5000;19.0000;19.0000;25.0000;1
2;902.5000;25.0000;25.0000;25.0000;1
3;902.5000;25.0000;-4963.0000;25.0000;0
4;902.5000;23.0000;23.0000;25.0000;1
5;902.5000;25.0000;25.0000;25.0000;1
6;902.5000;23.0000;23.0000;25.0000;1
7;902.5000;23.0000;-3965.0000;25.0000;0
8;902.5000;16.0000;16.0000;25.0000;1
9;902.5000;23.0000;23.0000;25.0000;1
10;902.5000;16.0000;16.0000;25.0000;1
11;902.5000;-972.0000;-972.0000;25.0000;1
12;902.5000;-972.0000;-1970.0000;25.0000;0
13;902.5000;-972.0000;-3965.0000;25.0000;0
14;902.5000;16.0000;16.0000;25.0000;1
15;902.5000;6.0000;6.0000;25.0000;1
16;902.5000;0.0000;0.0000;25.0000;1
17;902.5000;2.0000;2.0000;25.0000;1
18;902.5000;12.0000;12.0000;25.0000;1
19;902.5000;19.0000;19.0000;25.0000;1
20;902.5000;9.0000;9.0000;25.0000;1
21;902.5000;21.0000;21.0000;25.0000;1
22;902.5000;21.0000;-973.0000;25.0000;0
23;902.5000;19.0000;19.0000;25.0000;1
24;902.5000;7.0000;7.0000;25.0000;1
25;902.5000;13.0000;13.0000;25.0000;1
26;902.5000;23.0000;23.0000;25.0000;1
27;902.5000;13.0000;13.0000;25.0000;1
28;902.5000;25.0000;25.0000;25.0000;1
29;902.5000;13.0000;13.0000;25.0000;1
30;902.5000;25.0000;25.0000;25.0000;1
31;902.5000;18.0000;18.0000;25.0000;1
32;902.5000;20.0000;20.0000;25.0000;1
